foreign,native
mieskanne,квартира
nie,НЕТ
to,этот
się,сам
w,В
na,на
i,и
że,Что
z,С
co,Что
jest,Является
do,вниз
tak,Да
o,о
jak,Как
ale,Но
a,и
mnie,мне
mi,мне
za,позади
ja,я
tym,этот
tego,этот
ci,ты
po,после
tylko,Только
czy,Ли
tu,здесь
może,Может быть
jestem,Я
ma,имеет
ty,ты
cię,ты
mam,У меня есть
jesteś,Ты
już,Уже
jeśli,Если
wiem,Я знаю
coś,что-нибудь
dobrze,Все в порядке
więc,Так
od,От
teraz,Сейчас
pan,Мистер
wszystko,Все
być,быть
będzie,будет
masz,У вас есть
nic,ничего
mogę,Я могу
proszę,Пожалуйста
jej,ее
są,являются
gdzie,Где
kiedy,Когда
ten,этот
on,он
ciebie,ты
by,к
sobie,сам
ze,Что
był,был
bardzo,Очень
było,был
przez,К
jego,его
ją,я
chcę,Я хочу
dlaczego,Почему
pani,ты
jeszcze,все еще
mój,мой
żeby,К
no,ага
bo,потому что
chcesz,Вы хотите
ich,их
też,Слишком
tutaj,здесь
naprawdę,Действительно
nigdy,Никогда
mamy,У нас есть
kto,ВОЗ
możesz,Ты можешь
dobra,Все в порядке
przepraszam,Извини
mu,ему
gdy,Когда
muszę,Я должен
porządku,хорошо
dziękuję,Спасибо
nawet,даже
chyba,Наверное
domu,дом
ona,Она
prawda,Истинный
zrobić,делать
właśnie,Точно
będę,Я буду
zawsze,Всегда
hej,Привет
nim,ему
nam,НАС
te,эти
moja,Мой
musisz,вы должны
je,ест
dzięki,Спасибо
bez,без
tej,Вот этот
trochę,Немного
ktoś,кто-то
panie,сэр
moje,мой
powiedzieć,сказать
który,который
więcej,более
twój,твой
musimy,мы должны
ta,ага
chce,Я хочу
możemy,Мы можем
tobą,ты
albo,или
prostu,просто
chodzi,идет
razem,Вместе
stało,случилось
cześć,Привет
mną,мне
czego,что
sam,один
myślę,Я думаю
pana,Мистер
przed,До
boże,Бог
raz,один раз
czemu,Почему
będziesz,Вы будете
niż,чем
ludzie,Люди
dalej,следующий
czym,что
was,усы
dobry,Хороший
przy,к
ludzi,люди
dzień,День
życie,жизнь
lepiej,Лучше
rzeczy,вещи
twoja,твой
czasu,время
ok,Приблизительно
temu,назад
robisz,вы делаете
myślisz,Ты думаешь
kim,Кто
niech,позволять
które,который
oczywiście,Конечно
siebie,сам
niego,ему
cóż,Хорошо
powiedział,он сказал
u,в
daj,давать
moim,мой
chodź,приходить
musi,должен
my,мы
nikt,никто
twoje,твой
pod,под
pewnie,Конечно
powiedz,Сказать
aby,К
wygląda,выглядит
jeden,один
mojego,мой
im,их
mówi,говорит
dziś,сегодня
taki,такой
mieć,иметь
jako,как
lagodne,мягкий
